DATE,CPIAUCNS,FEDFUNDS,INDPRO,MPRIME,PAYEMS,TOTALSA,UNRATENSA,NBER
1976-11-01,58.0,4.95,45.354,6.5,80240.0,13.332,7.4,0.0
1976-12-01,58.2,4.65,45.8357,6.35,80448.0,14.527,7.4,0.0
1977-01-01,58.5,4.61,45.5276,6.25,80690.0,14.396,8.3,0.0
1977-02-01,59.1,4.68,46.2567,6.25,80988.0,14.709,8.5,0.0
1977-03-01,59.5,4.69,46.8356,6.25,81391.0,15.17,7.9,0.0
1977-04-01,60.0,4.73,47.2898,6.25,81728.0,15.135,6.9,0.0
1977-05-01,60.3,5.35,47.6607,6.41,82088.0,14.984,6.4,0.0
1977-06-01,60.7,5.39,48.0196,6.75,82488.0,14.952,7.5,0.0
1977-07-01,61.0,5.42,48.0819,6.75,82834.0,14.641,7.0,0.0
1977-08-01,61.2,5.9,48.1315,6.83,83075.0,14.859,6.8,0.0
1977-09-01,61.4,6.14,48.3308,7.13,83532.0,14.65,6.6,0.0
1977-10-01,61.6,6.47,48.4014,7.52,83800.0,14.9,6.4,0.0
1977-11-01,61.9,6.51,48.4924,7.75,84173.0,14.799,6.5,0.0
1977-12-01,62.1,6.56,48.564,7.75,84410.0,15.175,6.0,0.0
1978-01-01,62.5,6.7,47.8693,7.93,84594.0,13.704,7.1,0.0
1978-02-01,62.9,6.78,48.1283,8.0,84948.0,14.363,6.9,0.0
1978-03-01,63.4,6.79,49.0553,8.0,85460.0,15.166,6.6,0.0
1978-04-01,63.9,6.89,50.026,8.0,86162.0,16.198,5.8,0.0
1978-05-01,64.5,7.36,50.2717,8.27,86509.0,16.298,5.5,0.0
1978-06-01,65.2,7.6,50.5939,8.63,86950.0,16.348,6.2,0.0
1978-07-01,65.7,7.81,50.5499,9.0,87204.0,15.528,6.3,0.0
1978-08-01,66.0,8.04,50.7622,9.01,87483.0,16.045,5.9,0.0
1978-09-01,66.5,8.45,50.8856,9.41,87621.0,14.641,5.8,0.0
1978-10-01,67.1,8.96,51.2821,9.94,87956.0,15.845,5.4,0.0
1978-11-01,67.4,9.76,51.6737,10.94,88391.0,15.484,5.6,0.0
1978-12-01,67.7,10.03,51.9404,11.55,88671.0,15.338,5.7,0.0
1979-01-01,68.3,10.07,51.6507,11.75,88808.0,15.061,6.4,0.0
1979-02-01,69.1,10.06,51.9097,11.75,89055.0,15.321,6.4,0.0
1979-03-01,69.8,10.09,52.0667,11.75,89479.0,15.275,6.1,0.0
1979-04-01,70.6,10.01,51.4548,11.75,89417.0,14.742,5.5,0.0
1979-05-01,71.5,10.24,51.9061,11.75,89789.0,14.374,5.2,0.0
1979-06-01,72.3,10.29,51.9067,11.65,90108.0,12.744,6.0,0.0
1979-07-01,73.1,10.47,51.8258,11.54,90217.0,14.112,5.9,0.0
1979-08-01,73.8,10.94,51.49,11.91,90300.0,14.344,5.9,0.0
1979-09-01,74.6,11.43,51.4847,12.9,90327.0,14.292,5.7,0.0
1979-10-01,75.2,13.77,51.8421,14.39,90481.0,13.112,5.6,0.0
1979-11-01,75.9,13.18,51.7591,15.55,90573.0,13.025,5.6,0.0
1979-12-01,76.7,13.78,51.7974,15.3,90672.0,13.496,5.7,0.0
1980-01-01,77.8,13.82,52.0677,15.25,90800.0,14.439,6.9,1.0
1980-02-01,78.9,14.13,52.0899,15.63,90883.0,13.276,6.8,1.0
1980-03-01,80.1,17.19,51.8687,18.31,90994.0,12.077,6.6,1.0
1980-04-01,81.0,17.61,50.8454,19.77,90849.0,10.444,6.7,1.0
1980-05-01,81.8,10.98,49.5947,16.57,90420.0,9.54,7.1,1.0
1980-06-01,82.7,9.47,48.9621,12.63,90101.0,10.449,7.8,1.0
1980-07-01,82.7,9.03,48.609,11.48,89840.0,11.664,7.9,1.0
1980-08-01,83.3,9.61,48.7646,11.12,90099.0,11.154,7.6,0.0
1980-09-01,84.0,10.87,49.5764,12.23,90213.0,10.912,7.2,0.0
1980-10-01,84.8,12.81,50.2058,13.79,90490.0,11.412,7.1,0.0
1980-11-01,85.5,15.85,51.0418,16.06,90747.0,11.257,7.1,0.0
1980-12-01,86.3,18.9,51.3906,20.35,90943.0,10.939,6.9,0.0
1981-01-01,87.0,19.08,51.0656,20.16,91033.0,11.282,8.2,0.0
1981-02-01,87.9,15.93,50.8554,19.43,91105.0,12.351,8.0,0.0
1981-03-01,88.5,14.7,51.1107,18.05,91210.0,12.427,7.7,0.0
