"DATE","PD37972BM","PD37974BM","PD37976BM"
Feb95,31.0357814860436,59.4935831990473,42.8268148677755
Mar95,30.1367088639283,70.994500914248,52.0616859978489
Abr95,29.452419314285,70.8731382805422,45.1821631217616
May95,30.8980287334407,72.0919642392864,51.8920593875331
Jun95,32.8934395018826,69.7703638956947,47.7123135611689
Jul95,31.0258151844686,86.7221116346275,45.4396840224774
Ago95,28.713408674134,82.4568021889751,54.1978377283486
Sep95,33.9031526938172,69.4774144346854,50.3671729463087
Oct95,35.95369606029,69.757216695345,47.7871916257868
Nov95,33.7187846205107,87.9455221111491,47.5444180469465
Dic95,31.9269079947624,83.8452932886099,43.7852976533679
Ene96,27.0409347385872,69.4949691537799,45.4867989342734
Feb96,28.4011492052948,59.0655011978945,40.1962069528469
Mar96,32.4058208590812,60.8056140356533,42.9194638568084
Abr96,28.1215156347755,70.8935274776643,42.6940304512421
May96,31.4152496042528,69.5760873709379,50.3234410947334
Jun96,30.5154395786139,67.1250346676919,41.0608526015977
Jul96,34.5558182501851,80.3836423140438,45.8846546212686
Ago96,34.0764965558659,70.5378038003575,46.7680798079933
Sep96,33.5175173831469,63.5746579638496,44.2898244301782
Oct96,38.8421025370134,69.3361829148986,48.6147024522085
Nov96,40.2522024027132,72.4099592412499,46.0840284236238
Dic96,41.5529469021602,63.9426154822581,40.7531106536094
Ene97,41.2982585697535,48.7406947903532,42.8003117191235
Feb97,36.4612105305768,47.4247189053637,40.8543158740511
Mar97,42.5554745178454,52.2050221980723,42.1666647357541
Abr97,40.9299857803516,73.3900817356186,54.2866925993941
May97,41.9578088873498,73.2651550148138,53.5995056890409
Jun97,47.988924331045,67.0316104584818,47.0217269196388
Jul97,43.0534540386569,80.6149386360159,49.8217923756263
Ago97,45.7148515686864,76.3365590493891,52.8799520372972
Sep97,43.6806197170209,77.7915891782333,54.422038126336
Oct97,48.2241829737491,82.4743547523859,56.1878348986865
Nov97,45.2682659803757,98.3345400948657,52.0584645927661
Dic97,51.9331251472769,96.3618759463707,53.121002799557
Ene98,39.5379465202419,84.9080395126857,57.7333779561729
Feb98,40.0810675633806,73.474028163842,52.4739035307644
Mar98,44.0105192659369,73.4128345861177,59.9286186755191
Abr98,42.1079508919392,84.5889130017988,57.8947031024383
May98,45.7840624055733,80.7714907688531,54.5785042055352
Jun98,46.5745074674326,83.4858998195672,62.1854097867155
Jul98,46.3537418234659,80.9884566144222,57.9646607159195
Ago98,39.1236543133501,67.6080208132328,59.1686588690649
Sep98,37.379666001149,62.5184252847745,53.1219158030368
Oct98,47.6305154396659,60.8119900082979,51.9444304456584
Nov98,43.4691789041739,66.1710460547263,49.7402983932594
Dic98,45.2358674370722,62.5092291898419,42.5337858166602
Ene99,38.9985472632472,50.0609513282481,41.0347713170435
Feb99,37.2153291847362,44.6051999791654,38.7611284346718
Mar99,40.7781691836881,47.679371264874,49.3776173998284
Abr99,36.9633871119436,46.7425462902799,44.6130963058431
May99,41.7006783088918,43.0669306939044,44.965905654558
Jun99,42.5245360557188,43.3926618455023,47.5756039260656
Jul99,42.9176265366482,41.6429618308065,47.6372315430342
Ago99,41.631386833506,46.7646020316459,52.7673225333786
Sep99,49.7137484494168,47.7052685878857,57.4195658792229
Oct99,50.5444646052665,44.707748419965,53.0753708451111
Nov99,47.0875266807801,54.4577778770928,58.335536219007
Dic99,53.177093568202,59.0047142478187,56.3934022122833
Ene00,46.4337888906375,40.8476387313566,47.7159167823972
Feb00,46.8099041153217,52.8026799711285,50.3633870180214
Mar00,44.0264689536532,59.311961905941,53.2029193778177
Abr00,42.9468043602738,51.0262490800174,45.5047054028246
